State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
13,149,Heard,GA,Georgia,p94,SERTP
8,117,Summit,CO,Colorado,p33,WestConnect_North
29,43,Christian,MO,Missouri,p55,SPP_South
42,1,Adams,PA,Pennsylvania,p122,PJM_East
36,69,Ontario,NY,New York,p127,NYISO
29,57,Dade,MO,Missouri,p55,SPP_South
4,3,Cochise,AZ,Arizona,p28,WestConnect_South
19,151,Pocahontas,IA,Iowa,p45,MISO_North
47,5,Benton,TN,Tennessee,p92,SERTP
8,25,Crowley,CO,Colorado,p34,WestConnect_North
42,19,Butler,PA,Pennsylvania,p115,PJM_East
19,191,Winneshiek,IA,Iowa,p69,MISO_North
42,133,York,PA,Pennsylvania,p122,PJM_East
8,35,Douglas,CO,Colorado,p33,WestConnect_North
1,115,St. Clair,AL,Alabama,p90,SERTP
48,81,Coke,TX,Texas,p61,ERCOT
19,49,Dallas,IA,Iowa,p70,MISO_North
46,99,Minnehaha,SD,South Dakota,p38,SPP_North
48,507,Zavala,TX,Texas,p65,ERCOT
37,181,Vance,NC,North Carolina,p98,SERTP
24,1,Allegany,MD,Maryland,p121,PJM_East
22,87,St. Bernard,LA,Louisiana,p58,MISO_South
44,1,Bristol,RI,Rhode Island,p133,ISONE
29,135,Moniteau,MO,Missouri,p72,MISO_Central
13,153,Houston,GA,Georgia,p94,SERTP
21,81,Grant,KY,Kentucky,p109,PJM_East
48,505,Zapata,TX,Texas,p65,ERCOT
19,141,O'Brien,IA,Iowa,p45,MISO_North
37,73,Gates,NC,North Carolina,p98,SERTP
22,91,St. Helena,LA,Louisiana,p58,MISO_South
19,125,Marion,IA,Iowa,p70,MISO_North
48,287,Lee,TX,Texas,p64,ERCOT
53,77,Yakima,WA,Washington,p2,NorthernGrid_West
40,147,Washington,OK,Oklahoma,p51,SPP_South
51,109,Louisa,VA,Virginia,p99,PJM_East
26,57,Gratiot,MI,Michigan,p103,MISO_Central
51,31,Campbell,VA,Virginia,p99,PJM_East
54,7,Braxton,WV,West Virginia,p116,PJM_East
21,41,Carroll,KY,Kentucky,p109,PJM_East
26,43,Dickinson,MI,Michigan,p74,MISO_North
17,51,Fayette,IL,Illinois,p81,MISO_Central
26,75,Jackson,MI,Michigan,p103,MISO_Central
22,85,Sabine,LA,Louisiana,p58,MISO_South
46,65,Hughes,SD,South Dakota,p38,SPP_North
13,131,Grady,GA,Georgia,p94,SERTP
48,41,Brazos,TX,Texas,p64,ERCOT
31,7,Banner,NE,Nebraska,p39,SPP_North
38,13,Burke,ND,North Dakota,p36,SPP_North
41,7,Clatsop,OR,Oregon,p5,NorthernGrid_West
13,157,Jackson,GA,Georgia,p94,SERTP
37,67,Forsyth,NC,North Carolina,p97,SERTP
36,11,Cayuga,NY,New York,p127,NYISO
30,81,Ravalli,MT,Montana,p17,NorthernGrid_East
48,461,Upton,TX,Texas,p62,ERCOT
40,65,Jackson,OK,Oklahoma,p50,SPP_South
17,63,Grundy,IL,Illinois,p80,PJM_West
18,145,Shelby,IN,Indiana,p107,MISO_Central
37,27,Caldwell,NC,North Carolina,p97,SERTP
26,135,Oscoda,MI,Michigan,p103,MISO_Central
22,101,St. Mary,LA,Louisiana,p58,MISO_South
27,89,Marshall,MN,Minnesota,p42,MISO_North
48,173,Glasscock,TX,Texas,p62,ERCOT
48,195,Hansford,TX,Texas,p48,SPP_South
5,45,Faulkner,AR,Arkansas,p85,MISO_South
17,39,De Witt,IL,Illinois,p83,MISO_Central
38,17,Cass,ND,North Dakota,p37,MISO_North
6,83,Santa Barbara,CA,California,p9,CAISO
27,21,Cass,MN,Minnesota,p43,MISO_North
19,9,Audubon,IA,Iowa,p45,MISO_North
47,7,Bledsoe,TN,Tennessee,p92,SERTP
21,173,Montgomery,KY,Kentucky,p109,PJM_East
19,61,Dubuque,IA,Iowa,p70,MISO_North
21,195,Pike,KY,Kentucky,p110,PJM_East
48,257,Kaufman,TX,Texas,p63,ERCOT
36,75,Oswego,NY,New York,p127,NYISO
31,81,Hamilton,NE,Nebraska,p40,SPP_North
21,229,Washington,KY,Kentucky,p109,PJM_East
27,33,Cottonwood,MN,Minnesota,p68,MISO_North
17,121,Marion,IL,Illinois,p81,MISO_Central
22,1,Acadia,LA,Louisiana,p58,MISO_South
26,11,Arenac,MI,Michigan,p103,MISO_Central
40,13,Bryan,OK,Oklahoma,p50,SPP_South
13,55,Chattooga,GA,Georgia,p94,SERTP
54,81,Raleigh,WV,West Virginia,p117,PJM_East
13,103,Effingham,GA,Georgia,p94,SERTP
46,17,Buffalo,SD,South Dakota,p38,SPP_North
51,550,Chesapeake,VA,Virginia,p99,PJM_East
48,229,Hudspeth,TX,Texas,p61,ERCOT
1,107,Pickens,AL,Alabama,p89,SERTP
48,491,Williamson,TX,Texas,p64,ERCOT
35,45,San Juan,NM,New Mexico,p31,WestConnect_South
1,79,Lawrence,AL,Alabama,p89,SERTP
55,49,Iowa,WI,Wisconsin,p77,MISO_North
18,59,Hancock,IN,Indiana,p105,MISO_Central
29,69,Dunklin,MO,Missouri,p84,MISO_Central
36,57,Montgomery,NY,New York,p127,NYISO
36,43,Herkimer,NY,New York,p127,NYISO
42,113,Sullivan,PA,Pennsylvania,p122,PJM_East
